"GEO_ID","NAME","B25061_001E","B25061_001M","B25061_002E","B25061_002M","B25061_003E","B25061_003M","B25061_004E","B25061_004M","B25061_005E","B25061_005M","B25061_006E","B25061_006M","B25061_007E","B25061_007M","B25061_008E","B25061_008M","B25061_009E","B25061_009M","B25061_010E","B25061_010M","B25061_011E","B25061_011M","B25061_012E","B25061_012M","B25061_013E","B25061_013M","B25061_014E","B25061_014M","B25061_015E","B25061_015M","B25061_016E","B25061_016M","B25061_017E","B25061_017M","B25061_018E","B25061_018M","B25061_019E","B25061_019M","B25061_020E","B25061_020M","B25061_021E","B25061_021M","B25061_022E","B25061_022M","B25061_023E","B25061_023M","B25061_024E","B25061_024M","B25061_025E","B25061_025M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than $100","Margin of Error!!Total!!Less than $100","Estimate!!Total!!$100 to $149","Margin of Error!!Total!!$100 to $149","Estimate!!Total!!$150 to $199","Margin of Error!!Total!!$150 to $199","Estimate!!Total!!$200 to $249","Margin of Error!!Total!!$200 to $249","Estimate!!Total!!$250 to $299","Margin of Error!!Total!!$250 to $299","Estimate!!Total!!$300 to $349","Margin of Error!!Total!!$300 to $349","Estimate!!Total!!$350 to $399","Margin of Error!!Total!!$350 to $399","Estimate!!Total!!$400 to $449","Margin of Error!!Total!!$400 to $449","Estimate!!Total!!$450 to $499","Margin of Error!!Total!!$450 to $499","Estimate!!Total!!$500 to $549","Margin of Error!!Total!!$500 to $549","Estimate!!Total!!$550 to $599","Margin of Error!!Total!!$550 to $599","Estimate!!Total!!$600 to $649","Margin of Error!!Total!!$600 to $649","Estimate!!Total!!$650 to $699","Margin of Error!!Total!!$650 to $699","Estimate!!Total!!$700 to $749","Margin of Error!!Total!!$700 to $749","Estimate!!Total!!$750 to $799","Margin of Error!!Total!!$750 to $799","Estimate!!Total!!$800 to $899","Margin of Error!!Total!!$800 to $899","Estimate!!Total!!$900 to $999","Margin of Error!!Total!!$900 to $999","Estimate!!Total!!$1,000 to $1,249","Margin of Error!!Total!!$1,000 to $1,249","Estimate!!Total!!$1,250 to $1,499","Margin of Error!!Total!!$1,250 to $1,499","Estimate!!Total!!$1,500 to $1,999","Margin of Error!!Total!!$1,500 to $1,999","Estimate!!Total!!$2,000 to $2,499","Margin of Error!!Total!!$2,000 to $2,499","Estimate!!Total!!$2,500 to $2,999","Margin of Error!!Total!!$2,500 to $2,999","Estimate!!Total!!$3,000 to $3,499","Margin of Error!!Total!!$3,000 to $3,499","Estimate!!Total!!$3,500 or more","Margin of Error!!Total!!$3,500 or more"
"0500000US36083","Rensselaer County, New York","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US36013","Chautauqua County, New York","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US36019","Clinton County, New York","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US36061","New York County, New York","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US36091","Saratoga County, New York","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US36109","Tompkins County, New York","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US36065","Oneida County, New York","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US36075","Oswego County, New York","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US36059","Nassau County, New York","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
