Client's_County,latitude,longitude,zipcode,latitude,longitude
Albany,42.6525793,-73.7562317,501,40.922326,-72.637078
Allegany,42.2506243,-78.0330619,544,40.922326,-72.637078
Bronx,40.837048,-73.865433,6390,41.261936,-72.00708
Broome,42.1347222,-75.9063889,10001,40.750742,-73.99653
Cattaraugus,42.2667306,-78.6830853,10002,40.71704,-73.987
Cayuga,42.9667327,-76.5829983,10003,40.732509,-73.98935
Chautauqua,42.2506137,-79.3997685,10005,40.706019,-74.00858
Chemung,42.1500746,-76.7663426,10006,40.707904,-74.01342
Chenango,42.46674,-75.5829625,10007,40.714754,-74.00721
Clinton,44.7333743,-73.6829184,10008,40.780751,-73.977182
Columbia,42.2506433,-73.6495647,10009,40.727093,-73.97864
Cortland,42.6011813,-76.1804843,10010,40.739022,-73.98205
Delaware,42.2000858,-74.9662742,10011,40.741012,-74.00012
Dutchess,41.6267603,-73.8831911,10012,40.72596,-73.99834
Erie,42.7667263,-78.6664163,10013,40.720666,-74.00526
Essex,44.100053,-73.8162489,10014,40.734718,-74.00532
Franklin,44.6500547,-74.3496082,10015,40.780751,-73.977182
Fulton,43.1167383,-74.4495837,10016,40.74618,-73.97759
Genesee,43.0006156,-78.1830721,10017,40.752159,-73.97231
Greene,42.2667528,-74.2162533,10018,40.755101,-73.99337
Hamilton,43.6667331,-74.5001569,10019,40.765714,-73.9856
Herkimer,43.4500685,-74.9496038,10020,40.758667,-73.98024
Jeffersony,44.0500589,-75.8996501,10021,40.76842,-73.96045
Kings,40.6501038,-73.9495823,10022,40.759015,-73.96732
Lewis,43.8000693,-75.4829618,10023,40.776099,-73.98285
Livingston,42.7333968,-77.766389,10024,40.786387,-73.97709
Madison,42.9334013,-75.6496268,10025,40.798502,-73.96811
Monroe,43.150062,-77.6830592,10026,40.802853,-73.95471
Montgomery,42.8834072,-74.4162468,10027,40.812665,-73.95499
Nassau,40.7506561,-73.582905,10028,40.776777,-73.9541
New York,40.7786831,-74.1905219,10029,40.791586,-73.94575
Niagara,43.3119496,-78.7476208,10030,40.818151,-73.94351
Oneida,43.2195139,-75.4285071,10031,40.826201,-73.94879
Onondaga,43.0006216,-76.1663138,10032,40.840686,-73.94154
Ontario,43.3071,-77.85855,10033,40.848764,-73.93496
Orange,41.4167605,-74.3162633,10034,40.867653,-73.92
Orleans,43.2458333,-78.1930556,10035,40.802395,-73.93359
Oswego,43.4553461,-76.5104973,10036,40.759511,-73.99019
Otsego,42.6334091,-75.0162701,10037,40.813385,-73.93616
Putnam,41.4334268,-73.7329091,10038,40.709677,-74.00365
Queens,40.700103,-73.7995781,10039,40.826181,-73.9371
Rensselaer,42.7167452,-73.4828911,10040,40.858704,-73.92853
Richmond,40.5834379,-74.1495875,10041,40.703042,-74.01009
Rockland,41.1667617,-74.0495861,10043,40.780751,-73.977182
St. Lawrence,44.5006173,-75.1163146,10044,40.762174,-73.94917
Saratoga,43.0675747,-73.7784538,10045,40.70859,-74.008687
Schenectady,42.8017434,-73.927624,10046,40.780751,-73.977182
Schoharie,42.5667427,-74.4662542,10047,40.780751,-73.977182
Schuyler,42.39,-76.88,10048,40.712086,-74.01227
Seneca,42.79,-76.83,10055,40.780751,-73.977182
Steuben,42.2667396,-77.3330356,10060,40.780751,-73.977182
Suffolk,40.8667653,-72.7995456,10069,40.775477,-73.9905
Sullivan,41.7000894,-74.7829405,10072,40.780751,-73.977182
Tioga,42.17,-76.3,10079,40.780751,-73.977182
Tompkins,42.4406284,-76.4966071,10080,40.780751,-73.977182
Ulster,41.9261111,-74.0163889,10081,40.780751,-73.977182
,,,10082,40.780751,-73.977182
,,,10087,40.780751,-73.977182
,,,10090,40.780751,-73.977182
,,,10094,40.780751,-73.977182
,,,10095,40.748181,-73.988421
,,,10096,40.780751,-73.977182
,,,10098,40.748181,-73.988421
,,,10099,40.780751,-73.977182
,,,10101,40.780751,-73.977182
,,,10102,40.780751,-73.977182
,,,10103,40.760915,-73.97785
,,,10104,40.760943,-73.979908
,,,10105,40.762808,-73.978534
,,,10106,40.765243,-73.980438
,,,10107,40.766429,-73.982728
,,,10108,40.780751,-73.977182
,,,10109,40.780751,-73.977182
,,,10110,40.753987,-73.980811
,,,10111,40.759235,-73.97775
,,,10112,40.759291,-73.97979
,,,10113,40.780751,-73.977182
,,,10114,40.780751,-73.977182
,,,10115,40.810906,-73.96375
,,,10116,40.780751,-73.977182
,,,10117,40.780751,-73.977182
,,,10118,40.748998,-73.986467
,,,10119,40.750824,-73.99289
,,,10120,40.750629,-73.989426
,,,10121,40.74964,-73.991889
,,,10122,40.751757,-73.992171
,,,10123,40.751489,-73.990537
,,,10124,40.780751,-73.977182
,,,10125,40.780751,-73.977182
,,,10126,40.780751,-73.977182
,,,10128,40.781894,-73.95039
,,,10129,40.780751,-73.977182
,,,10130,40.780751,-73.977182
,,,10131,40.780751,-73.977182
,,,10132,40.780751,-73.977182
,,,10133,40.780751,-73.977182
,,,10138,40.780751,-73.977182
,,,10149,40.780751,-73.977182
,,,10150,40.780751,-73.977182
,,,10151,40.763419,-73.973971
,,,10152,40.758611,-73.97223
,,,10153,40.763742,-73.97268
,,,10154,40.757986,-73.97267
,,,10155,40.761104,-73.968036
,,,10156,40.780751,-73.977182
